model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,step_counter,last_check_step,surprise_streak,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic,2,1,1,5.186264610290527,5.153309834798177,0.032954719364643094,5.050823133786519,5.050823133786519,0.0,1.0,1.0,10.0,0.0,0.0,,,,,
dynamic,2,1,2,5.032326062520345,4.976318715413411,0.05600736757119497,4.871422201792399,4.871422201792399,0.0,1.0,1.0,20.0,0.0,0.0,,,,,
dynamic,2,1,3,4.8804016812642415,4.798388373057048,0.08201327214638392,4.698004849751791,4.698004849751791,0.0,1.0,1.0,30.0,0.0,0.0,,,,,
dynamic,2,1,4,4.732727788289388,4.628151823679606,0.1045759583512942,4.537880608240763,4.537880608240763,0.0,1.0,1.0,40.0,0.0,0.0,,,,,
dynamic,2,1,5,4.581456915537516,4.47484255472819,0.10661443084478378,4.38905910174052,4.38905910174052,0.0,1.0,1.0,50.0,0.0,0.0,,,,,
dynamic,2,1,6,4.4227268028259275,4.32974142074585,0.09298539956410726,4.245082213083903,4.245082213083903,0.0,1.0,1.0,60.0,0.0,0.0,,,,,
dynamic,2,1,7,4.2809555689493815,4.1887049357096355,0.09225062251091004,4.115445815722148,4.115445815722148,0.0,1.0,1.0,70.0,0.0,0.0,,,,,
dynamic,2,1,8,4.159602762858073,4.063500798543294,0.09610197325547536,3.9944682470957438,3.9944682470957438,0.0,1.0,1.0,80.0,0.0,0.0,,,,,
dynamic,2,1,9,4.058140137990316,3.9455958048502606,0.11254437724749247,3.8773487361272174,3.8773487361272174,0.0,1.0,1.0,90.0,0.0,0.0,,,,,
dynamic,2,1,10,3.9714711062113444,3.8322222518920896,0.13924882888793946,3.766964693069458,3.766964693069458,0.0,1.0,1.0,100.0,0.0,0.0,,,,,
dynamic,2,1,11,3.8931656551361082,3.7227809874216717,0.17038467526435852,3.6652990611394247,3.6652990611394247,0.0,1.0,1.0,110.0,0.0,0.0,,,,,
dynamic,2,1,12,3.8149690437316894,3.6222339407602946,0.1927350378036499,3.565957819620768,3.565957819620768,0.0,1.0,1.0,120.0,0.0,0.0,,,,,
dynamic,2,1,13,3.730178648630778,3.5263699754079183,0.20380868832270305,3.468696854909261,3.468696854909261,0.0,1.0,1.0,130.0,0.0,0.0,,,,,
dynamic,2,1,14,3.6172571722666422,3.4304568258921306,0.18680037677288056,3.3763271935780845,3.3763271935780845,0.0,1.0,1.0,140.0,0.0,0.0,,,,,
dynamic,2,1,15,3.487485138575236,3.339085855484009,0.14839928070704142,3.287259411811829,3.287259411811829,0.0,1.0,1.0,150.0,0.0,0.0,,,,,
dynamic,2,1,16,3.403139082590739,3.251978333791097,0.15116073409716288,3.2004642629623414,3.2004642629623414,0.0,1.0,1.0,160.0,0.0,0.0,,,,,
dynamic,2,1,17,3.3409680048624675,3.16477684656779,0.17619114418824514,3.11721971988678,3.11721971988678,0.0,1.0,1.0,170.0,0.0,0.0,,,,,
dynamic,2,1,18,3.2863695653279623,3.0832313760121663,0.20313819448153178,3.036978775660197,3.036978775660197,0.0,1.0,1.0,180.0,0.0,0.0,,,,,
dynamic,2,1,19,3.2320507748921714,3.0047510719299315,0.22729968746503193,2.961773393948873,2.961773393948873,0.0,1.0,1.0,190.0,0.0,0.0,,,,,
dynamic,2,1,20,3.1194336732228596,2.9318634478251138,0.187570241689682,2.888431213696798,2.888431213696798,0.0,1.0,1.0,200.0,0.0,0.0,,,,,
dynamic,2,1,21,3.0164459641774495,2.858503443400065,0.1579425311088562,2.818388965924581,2.818388965924581,0.0,1.0,1.0,210.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,22,2.95800835609436,2.7905069033304852,0.16750144759813945,2.7509499740600587,2.7509499740600587,0.0,1.0,1.0,220.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,23,2.9101637585957847,2.7242956574757895,0.18586809476216634,2.685794383684794,2.685794383684794,0.0,1.0,1.0,230.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,24,2.8706699784596763,2.659331523577372,0.21133848905563354,2.6233849859237672,2.6233849859237672,0.0,1.0,1.0,240.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,25,2.842911812464396,2.5981678009033202,0.2447440207004547,2.5633266178766885,2.5633266178766885,0.0,1.0,1.0,250.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,26,2.8307255268096925,2.5391182390848797,0.2916073075930278,2.5060791206359863,2.5060791206359863,0.0,1.0,1.0,260.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,27,2.8016152381896973,2.4820752239227293,0.3195400146643321,2.451192798614502,2.451192798614502,0.0,1.0,1.0,270.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
dynamic,2,1,28,2.775981820424398,2.429447135925293,0.3465346976121267,2.4005700174967446,2.4005700174967446,0.0,1.0,1.0,280.0,201.0,1.0,1.3338093757629395,4.615778923034668,6.174473762512207,10.303565979003906,82.0
